,Mean Volume,Momentum,Outlier
BNP,3443219.8333333335,-0.01234949058351309,False
SSI,28409.416666666668,-0.010012374845314698,False
ERF,28420.833333333332,-0.009511170095111487,False
NTG,9500.083333333334,-0.007999999999999785,True
INFE,115.66666666666667,-0.006711409395973034,True
ACAN,54065.083333333336,-0.006250000000000089,True
ADVI,188.16666666666666,-0.005681818181818121,False
EC,582.4166666666666,-0.002104189249506283,False
CAF,800.6666666666666,-0.0015700483091789508,True
ACA,5579347.166666667,-0.001098901098901095,False
LEBL,15.666666666666666,-2.220446049250313e-16,True
AMPLI,16110.333333333334,-2.220446049250313e-16,True
FTRN,36200.333333333336,0.0,True
SPI,0.0,0.0,False
IMHO,0.0,0.0,False
FORE,0.0,0.0,False
FOAF,0.0,0.0,True
IFF,0.0,0.0,False
CV,0.0,0.0,False
VIA,0.0,0.0,False
CBR,0.0,0.0,False
ALDV,97.16666666666667,0.0,True
SLCO,0.0,0.0,False
VALE5,0.0,0.0,False
BLUE,2080.1666666666665,0.001778304682868992,True
ADOC,23441.75,0.003640145605824152,True
CAS,2200.0,0.005780346820809301,True
INFY,0.0,0.006896551724137723,True
SCHP,2384.25,0.008037508372404911,False
CRBP2,15656.25,0.010760953112989746,False
BCRA,4.5,0.01508529536162384,True
BVI,840297.0,0.01810486715259807,False
SOFR,14.75,0.018743632852294523,True
FREY,241.33333333333334,0.021582733812949506,True
CTRG,1479.1666666666667,0.021798365122615904,True
ITS,12351.833333333334,0.022471910112359605,True
EPCP,6.5,0.02272727272727204,True
ORIA,27.833333333333332,0.023255813953488413,True
NRO,4093.5833333333335,0.02400000000000002,False
MED,64559.0,0.026190476190475875,False
HF,5055.166666666667,0.028901734104045618,False
EXAC,197.0,0.029954510342459884,True
BND,1311.75,0.03141361256544517,True
SPEL,2116.4166666666665,0.032098765432098775,True
NXI,102431.16666666667,0.036762496243614384,False
BERR,150.5,0.038062283737023916,True
SU,1334165.8333333333,0.03834482758620661,False
ANF,82808.83333333333,0.04062186559679071,True
TIPI,53.25,0.042979942693409656,True
ELIS,360891.0833333333,0.04315789473684206,False
VETO,4638.583333333333,0.04323681078936903,False
DOMS,427.0833333333333,0.04347826086956519,True
CBDG,0.3333333333333333,0.044776119402985204,True
BN,1630769.3333333333,0.045341227796821926,False
BLEE,0.0,0.04609929078014208,True
LAN,715.5833333333334,0.049201694362984494,True
RNO,930696.75,0.049410115640696306,False
ITE,3987.0833333333335,0.05060240963855467,False
CBOT,24899.25,0.05235602094240854,False
INEA,246.16666666666666,0.052631578947368585,True
AF,2938825.75,0.054828256642903916,False
ABCA,53266.333333333336,0.05538461538461559,False
CEREN,68087.0,0.056216216216216086,False
MDM,116075.16666666667,0.057124921531701345,False
ATE,34713.5,0.05784061696658105,False
SAVE,2286.8333333333335,0.05925925925925846,False
EXPL,13.0,0.060618916592928285,True
IDL,2302.4166666666665,0.06072583542939225,False
UG,3580742.5833333335,0.06160644658175207,False
AGTA,18.916666666666668,0.0629795396419437,True
DG,1408980.0,0.06402048655569748,False
SFT,546.3333333333334,0.0642857142857145,False
ORA,6325149.166666667,0.06443661971830972,False
VLTSA,10331.583333333334,0.06609808102345394,False
KN,4604580.666666667,0.06654141224361965,False
GFI,1194.25,0.06666666666666687,False
FMU,5933.25,0.06861198738170327,False
IPS,100744.16666666667,0.06997282608695654,True
ORAP,2728.5,0.0705487122060473,False
