Date,value,action
2000-06-14,0.15,DIVIDEND
2001-06-18,0.28,DIVIDEND
2002-06-06,0.4,DIVIDEND
2002-06-27,0.25,SPLIT
2003-06-06,0.1,DIVIDEND
2004-06-07,0.1,DIVIDEND
2005-06-07,0.15,DIVIDEND
2006-06-07,0.16,DIVIDEND
2007-06-07,0.2,DIVIDEND
2008-06-06,0.24,DIVIDEND
2009-06-03,0.24,DIVIDEND
2010-06-02,0.3,DIVIDEND
2011-06-02,0.35,DIVIDEND
2012-06-04,0.4,DIVIDEND
2012-09-17,0.25,SPLIT
2013-06-03,0.1,DIVIDEND
2014-06-02,0.12,DIVIDEND
2015-06-30,0.15,DIVIDEND
2016-07-27,0.175,DIVIDEND
2017-06-02,0.5,SPLIT
