Date,value,action
2002-05-23,40.0,DIVIDEND
2003-05-23,42.0,DIVIDEND
2004-05-25,47.0,DIVIDEND
2005-05-18,50.6,DIVIDEND
2006-05-16,53.8,DIVIDEND
2007-05-15,58.0,DIVIDEND
2007-09-05,47.0,DIVIDEND
2008-05-20,61.0,DIVIDEND
2009-05-14,70.0,DIVIDEND
2010-05-17,70.0,DIVIDEND
2010-12-13,228.0,DIVIDEND
2011-05-16,220.0,DIVIDEND
2012-05-09,0.01,SPLIT
2012-05-10,8.88,DIVIDEND
2013-05-17,1.6,DIVIDEND
2014-05-15,1.32,DIVIDEND
2015-05-15,1.2,DIVIDEND
2016-05-18,1.2,DIVIDEND
2017-05-16,1.2,DIVIDEND
