Date,value,action
2002-06-14,0.48,DIVIDEND
2003-06-13,0.48,DIVIDEND
2004-06-11,0.53,DIVIDEND
2005-05-26,0.62,DIVIDEND
2006-05-24,0.71,DIVIDEND
2007-05-24,0.81,DIVIDEND
2008-05-22,0.91,DIVIDEND
2010-05-31,0.15,DIVIDEND
2011-05-30,0.12,DIVIDEND
2016-03-04,1000.0,SPLIT
