Date,value,action
2000-05-26,1.2,DIVIDEND
2001-05-16,1.68,DIVIDEND
2002-05-15,1.68,DIVIDEND
2003-05-21,1.68,DIVIDEND
2004-05-19,1.7480000000000002,DIVIDEND
2005-05-18,2.0,DIVIDEND
2006-05-17,3.0,DIVIDEND
2007-05-16,2.5,DIVIDEND
2008-05-21,2.76,DIVIDEND
2009-05-15,2.8,DIVIDEND
2010-05-14,2.94,DIVIDEND
2010-10-12,3.50001,DIVIDEND
2010-11-10,0.3333333333333333,SPLIT
2011-05-13,1.0,DIVIDEND
2011-10-12,0.67,DIVIDEND
2012-05-11,0.5,DIVIDEND
2013-05-10,0.85,DIVIDEND
2014-05-16,0.85,DIVIDEND
2015-05-15,0.85,DIVIDEND
2016-05-12,0.9,DIVIDEND
2017-05-11,1.1,DIVIDEND
