Date,value,action
2008-05-07,0.4,DIVIDEND
2010-05-05,0.1,DIVIDEND
2011-02-25,1.77,DIVIDEND
2012-08-08,0.16,DIVIDEND
2013-08-09,0.16,DIVIDEND
2016-06-09,10.0,SPLIT
