Date,value,action
2001-06-11,0.5,SPLIT
2002-06-10,1.33333,DIVIDEND
2003-06-12,1.5333,DIVIDEND
2004-06-10,1.8,DIVIDEND
2005-06-15,2.0,DIVIDEND
2006-06-07,0.06,DIVIDEND
2006-06-15,2.1,DIVIDEND
2007-06-06,0.06,DIVIDEND
2007-06-15,2.1,DIVIDEND
2008-06-16,2.1,DIVIDEND
2009-06-10,2.1,DIVIDEND
2010-06-10,2.35,DIVIDEND
2011-06-10,2.5,DIVIDEND
2012-06-12,2.5,DIVIDEND
2013-06-11,2.5,DIVIDEND
2014-06-11,2.5,DIVIDEND
2015-06-11,2.5,DIVIDEND
2016-06-13,3.5,DIVIDEND
2017-06-13,3.5,DIVIDEND
