Date,value,action
2000-06-27,0.4,DIVIDEND
2001-06-20,0.64,DIVIDEND
2002-06-11,1.0,DIVIDEND
2002-06-20,0.5,DIVIDEND
2003-05-15,0.9,DIVIDEND
2003-06-20,0.48,DIVIDEND
2004-05-18,3.0,DIVIDEND
2004-05-25,1.06,DIVIDEND
2004-06-18,1.0,DIVIDEND
2005-05-09,0.2,SPLIT
2005-06-10,1.0,DIVIDEND
2006-06-20,1.2,DIVIDEND
2006-12-04,0.48,DIVIDEND
2007-05-15,1.1,DIVIDEND
2007-06-20,1.2,DIVIDEND
2007-11-21,0.8,DIVIDEND
2008-05-27,1.48,DIVIDEND
2008-11-17,1.0,DIVIDEND
2009-05-27,1.48,DIVIDEND
2009-11-23,1.0,DIVIDEND
2010-05-27,1.48,DIVIDEND
2010-11-23,1.16,DIVIDEND
2011-05-26,1.48,DIVIDEND
2011-12-19,1.16,DIVIDEND
2012-05-22,1.2,DIVIDEND
2012-11-19,1.16,DIVIDEND
2013-05-28,1.48,DIVIDEND
2013-11-25,1.16,DIVIDEND
2014-05-28,1.0,DIVIDEND
2014-11-24,1.0,DIVIDEND
2015-05-26,1.0,DIVIDEND
2015-11-23,0.5,DIVIDEND
2016-05-24,0.5,DIVIDEND
2016-11-22,0.6,DIVIDEND
2017-05-22,0.7,DIVIDEND
2017-11-28,0.5,DIVIDEND
