Date,value,action
2000-06-14,0.37333,DIVIDEND
2001-06-14,0.5066,DIVIDEND
2002-06-14,0.62666,DIVIDEND
2003-06-13,0.76,DIVIDEND
2004-06-11,0.8266600000000001,DIVIDEND
2005-06-17,0.44,DIVIDEND
2006-06-16,0.4533,DIVIDEND
2007-04-30,0.4633,DIVIDEND
2008-04-29,0.4733,DIVIDEND
2009-05-05,0.48,DIVIDEND
2010-05-03,0.48,DIVIDEND
2011-05-02,0.48,DIVIDEND
2012-04-27,0.48,DIVIDEND
2013-05-02,0.48,DIVIDEND
2014-05-02,0.48,DIVIDEND
2015-05-06,0.48,DIVIDEND
2016-05-05,0.5,DIVIDEND
2017-05-03,0.52,DIVIDEND
