Date,value,action
2000-05-31,260.0,DIVIDEND
2003-06-02,3.3333,DIVIDEND
2004-05-31,8.0,DIVIDEND
2005-05-31,22.0,DIVIDEND
2005-07-18,0.1,SPLIT
2006-05-31,1.3333,DIVIDEND
2007-05-31,1.3333,DIVIDEND
2008-05-30,2.0,DIVIDEND
2009-05-26,0.5,DIVIDEND
2011-05-26,1.5,DIVIDEND
2012-05-28,1.25,DIVIDEND
2016-05-27,0.15,DIVIDEND
2017-11-03,1.0,DIVIDEND
