Symbol,Date,Close,High,Low,Open,Volume
XBRU:REAL,2006-06-14,9.8,9.8,9.8,9.8,7800
XBRU:REAL,2006-06-15,9.5,9.5,9.5,9.5,2630
XBRU:REAL,2006-06-16,9.5,9.5,9.5,9.5,0
XBRU:REAL,2006-06-19,9.3,9.3,9.3,9.3,2400
XBRU:REAL,2006-06-20,9.3,9.3,9.3,9.3,1400
XBRU:REAL,2006-06-21,9.3,9.3,9.3,9.3,0
XBRU:REAL,2006-06-22,9.4,9.4,9.4,9.4,100
XBRU:REAL,2006-06-23,9.4,9.4,9.4,9.4,2400
XBRU:REAL,2006-06-26,9.7,9.7,9.7,9.7,100
XBRU:REAL,2006-06-27,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-06-28,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-06-29,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-06-30,9.7,9.7,9.7,9.7,1000
XBRU:REAL,2006-07-03,9.5,9.5,9.5,9.5,300
XBRU:REAL,2006-07-04,9.65,9.65,9.65,9.65,300
XBRU:REAL,2006-07-05,9.65,9.65,9.65,9.65,800
XBRU:REAL,2006-07-06,9.65,9.65,9.65,9.65,100
XBRU:REAL,2006-07-07,9.65,9.65,9.65,9.65,100
XBRU:REAL,2006-07-10,9.65,9.65,9.65,9.65,0
XBRU:REAL,2006-07-11,9.65,9.65,9.65,9.65,0
XBRU:REAL,2006-07-12,9.65,9.65,9.65,9.65,700
XBRU:REAL,2006-07-13,9.7,9.7,9.7,9.7,200
XBRU:REAL,2006-07-14,9.7,9.7,9.7,9.7,700
XBRU:REAL,2006-07-17,9.7,9.7,9.7,9.7,35
XBRU:REAL,2006-07-18,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-07-19,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-07-20,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-07-21,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-07-24,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-07-25,9.7,9.7,9.7,9.7,1100
XBRU:REAL,2006-07-26,9.7,9.7,9.7,9.7,0
XBRU:REAL,2006-07-27,9.7,9.7,9.7,9.7,40
XBRU:REAL,2006-07-28,9.69,9.69,9.69,9.69,8
XBRU:REAL,2006-07-31,9.69,9.69,9.69,9.69,0
XBRU:REAL,2006-08-01,9.68,9.68,9.68,9.68,56
XBRU:REAL,2006-08-02,9.5,9.5,9.5,9.5,80
XBRU:REAL,2006-08-03,9.5,9.5,9.5,9.5,0
XBRU:REAL,2006-08-04,9.5,9.5,9.5,9.5,20
XBRU:REAL,2006-08-07,9.5,9.5,9.5,9.5,0
