Date,Symbol,Close,High,Low,Open,Volume
2016-06-07,XBRU:NYR,7.5,7.585,7.2010000000000005,7.2010000000000005,371751
2016-06-08,XBRU:NYR,8.105,8.248,7.501,7.501,635511
2016-06-09,XBRU:NYR,8.742,8.749,8.2,8.2,579032
2016-06-10,XBRU:NYR,8.679,8.77,8.47,8.662,301906
2016-06-13,XBRU:NYR,8.452,8.6,8.176,8.6,249741
2016-06-14,XBRU:NYR,8.109,8.4,7.91,8.199,357117
2016-06-15,XBRU:NYR,8.08,8.228,7.985,8.092,252965
2016-06-16,XBRU:NYR,8.04,8.11,7.95,8.0,221381
2016-06-17,XBRU:NYR,8.7,8.7,8.073,8.1,319835
2016-06-20,XBRU:NYR,8.849,8.9,8.627,8.742,422460
2016-06-21,XBRU:NYR,8.624,8.9,8.609,8.806000000000003,197695
2016-06-22,XBRU:NYR,8.347000000000001,8.873,8.34,8.613,219784
2016-06-23,XBRU:NYR,8.7,8.7,8.318999999999999,8.318999999999999,321254
2016-06-24,XBRU:NYR,8.175,8.21,7.85,7.9,333196
2016-06-27,XBRU:NYR,7.856,8.413,7.856,8.318,238834
2016-06-28,XBRU:NYR,7.7970000000000015,8.037,7.711,8.027999999999999,315015
2016-06-29,XBRU:NYR,8.405,8.405,7.9,8.025,184683
2016-06-30,XBRU:NYR,8.48,8.645,8.279,8.451,297909
2016-07-01,XBRU:NYR,8.76,8.89,8.36,8.583,204035
2016-07-04,XBRU:NYR,9.263,9.334,8.847000000000003,8.85,267004
2016-07-05,XBRU:NYR,9.09,9.59,8.946,9.289,313458
2016-07-06,XBRU:NYR,7.548999999999999,8.354,7.1,8.0,2237983
2016-07-07,XBRU:NYR,7.695,7.85,7.61,7.61,480931
2016-07-08,XBRU:NYR,7.893,7.893,7.73,7.85,310047
2016-07-11,XBRU:NYR,8.347999999999999,8.42,7.901,7.901,736033
2016-07-12,XBRU:NYR,8.6,9.0,8.436,8.77,768702
2016-07-13,XBRU:NYR,8.4,8.75,8.35,8.686,236158
2016-07-14,XBRU:NYR,8.549,8.567,8.257,8.4,270217
2016-07-15,XBRU:NYR,8.6,8.6,8.347999999999999,8.37,350515
2016-07-18,XBRU:NYR,8.55,8.65,8.3,8.448,177380
2016-07-19,XBRU:NYR,8.301,8.625,8.177,8.586,305454
2016-07-20,XBRU:NYR,8.442,8.59,8.052999999999999,8.336,279083
2016-07-21,XBRU:NYR,8.2,8.461,8.038,8.43,227305
2016-07-22,XBRU:NYR,8.22,8.22,8.059,8.106,209255
2016-07-25,XBRU:NYR,8.201,8.3,8.071,8.287,215401
2016-07-26,XBRU:NYR,8.429,8.429,8.076,8.257,114687
2016-07-27,XBRU:NYR,8.377,8.55,8.372,8.413,175423
2016-07-28,XBRU:NYR,8.249,8.269,8.117,8.17,221823
2016-07-29,XBRU:NYR,8.154,8.3,8.08,8.3,209291
2016-08-01,XBRU:NYR,8.03,8.392000000000001,8.0,8.211,187447
2016-08-02,XBRU:NYR,7.75,8.01,7.627000000000002,8.01,461820
2016-08-03,XBRU:NYR,7.494,7.798999999999999,7.417000000000002,7.798999999999999,276535
2016-08-04,XBRU:NYR,7.62,7.7,7.376,7.461,292305
2016-08-05,XBRU:NYR,7.896,7.9,7.6320000000000014,7.6320000000000014,311075
2016-08-08,XBRU:NYR,7.75,8.347000000000001,7.706,7.895,333245
2016-08-09,XBRU:NYR,7.399,7.797999999999999,7.27,7.797999999999999,784188
2016-08-10,XBRU:NYR,7.222,7.31,6.9220000000000015,7.3,491395
2016-08-11,XBRU:NYR,7.4689999999999985,7.4689999999999985,7.165,7.25,215027
2016-08-12,XBRU:NYR,7.301,7.479,7.256,7.479,130039
2016-08-15,XBRU:NYR,7.25,7.345,7.146,7.25,100689
2016-08-16,XBRU:NYR,7.33,7.48,7.2360000000000015,7.239,140899
2016-08-17,XBRU:NYR,7.1610000000000005,7.41,7.04,7.41,202861
2016-08-18,XBRU:NYR,7.0520000000000005,7.3210000000000015,7.04,7.182,143914
2016-08-19,XBRU:NYR,7.04,7.158,7.02,7.06,151911
2016-08-22,XBRU:NYR,6.89,7.07,6.8889999999999985,7.021,240263
2016-08-23,XBRU:NYR,6.751,6.92,6.731,6.871,462914
2016-08-24,XBRU:NYR,6.533,6.801,6.52,6.751,343963
2016-08-25,XBRU:NYR,6.365,6.515,6.2120000000000015,6.515,517217
2016-08-26,XBRU:NYR,6.4510000000000005,6.509,6.214,6.301,250919
2016-08-29,XBRU:NYR,6.305,6.489,6.26,6.489,146149
2016-08-30,XBRU:NYR,6.24,6.34,6.212999999999999,6.34,390432
2016-08-31,XBRU:NYR,6.471,6.597,6.301,6.31,412066
2016-09-01,XBRU:NYR,6.49,6.591,6.422999999999999,6.48,362783
2016-09-02,XBRU:NYR,6.711,6.739,6.3820000000000014,6.53,277180
2016-09-05,XBRU:NYR,6.792000000000002,6.999,6.745,6.819,293575
2016-09-06,XBRU:NYR,6.862,6.9289999999999985,6.811,6.835,145656
2016-09-07,XBRU:NYR,7.067,7.067,6.806,6.9,206550
2016-09-08,XBRU:NYR,7.14,7.197,6.985,7.102,242468
2016-09-09,XBRU:NYR,7.1770000000000005,7.234,7.042999999999998,7.12,258270
2016-09-12,XBRU:NYR,6.928,7.049,6.8,7.049,226584
2016-09-13,XBRU:NYR,6.702000000000001,6.999,6.702000000000001,6.999,296985
2016-09-14,XBRU:NYR,6.5779999999999985,6.732,6.52,6.7,279397
2016-09-15,XBRU:NYR,6.459,6.545,6.308,6.522,308347
2016-09-16,XBRU:NYR,6.37,6.515,6.271,6.45,350425
2016-09-19,XBRU:NYR,6.315,6.495,6.309,6.39,181681
2016-09-20,XBRU:NYR,6.3610000000000015,6.425,6.315,6.41,377544
2016-09-21,XBRU:NYR,6.75,6.795,6.44,6.44,504001
2016-09-22,XBRU:NYR,6.957999999999998,7.017,6.797999999999999,6.843,210819
2016-09-23,XBRU:NYR,7.016,7.089,6.811,6.99,228159
2016-09-26,XBRU:NYR,6.908,7.03,6.857,7.03,155988
2016-09-27,XBRU:NYR,6.721,6.964,6.65,6.912000000000001,222080
2016-09-28,XBRU:NYR,6.829,6.957000000000002,6.737,6.76,277742
2016-09-29,XBRU:NYR,6.705,6.925,6.691,6.8439999999999985,226581
2016-09-30,XBRU:NYR,6.542999999999998,6.688,6.396,6.688,335797
2016-10-03,XBRU:NYR,6.51,6.5939999999999985,6.25,6.408,467768
2016-10-04,XBRU:NYR,6.812,6.829,6.424,6.424,434671
2016-10-05,XBRU:NYR,6.934,6.962999999999999,6.734,6.8,227770
2016-10-06,XBRU:NYR,6.865,6.974,6.851,6.957000000000002,196106
2016-10-07,XBRU:NYR,6.568,7.0070000000000014,6.565,6.8610000000000015,342041
2016-10-10,XBRU:NYR,6.752000000000002,6.78,6.478,6.57,226498
2016-10-11,XBRU:NYR,6.6770000000000005,6.9,6.6389999999999985,6.72,294923
2016-10-12,XBRU:NYR,6.737,6.799,6.555,6.632999999999999,258229
2016-10-13,XBRU:NYR,6.674,6.7010000000000005,6.434,6.606,323027
2016-10-14,XBRU:NYR,6.7570000000000014,6.888,6.6770000000000005,6.72,280592
2016-10-17,XBRU:NYR,6.297999999999999,6.638,6.26,6.559,921091
2016-10-18,XBRU:NYR,5.966,6.347,5.8660000000000005,6.347,899338
2016-10-19,XBRU:NYR,5.747999999999998,6.033,5.731,6.0,882321
2016-10-20,XBRU:NYR,5.511,5.822,5.502999999999999,5.812,1000231
2016-10-21,XBRU:NYR,5.754,5.819,5.511,5.511,401159
2016-10-24,XBRU:NYR,5.402,5.8,5.402,5.709,801733
2016-10-25,XBRU:NYR,5.3,5.509,5.254,5.424,522772
2016-10-26,XBRU:NYR,5.079,5.3020000000000005,5.05,5.3,783416
2016-10-27,XBRU:NYR,4.99,5.1,4.963,5.05,532719
2016-10-28,XBRU:NYR,4.961,5.049,4.95,5.043,367097
2016-10-31,XBRU:NYR,4.68,5.0,4.64,5.0,879605
2016-11-01,XBRU:NYR,4.86,5.05,4.744,4.8,607333
2016-11-02,XBRU:NYR,4.766,5.149,4.72,5.051,979054
2016-11-03,XBRU:NYR,5.4689999999999985,5.51,5.169,5.2,1111507
2016-11-04,XBRU:NYR,5.43,5.7,5.4129999999999985,5.5379999999999985,569783
2016-11-07,XBRU:NYR,5.575,5.68,5.44,5.68,327256
