Date,Symbol,Close,High,Low,Open,Volume
2006-12-18,XPAR:VIA,30.21,31.2,28.68,31.2,409931
2006-12-19,XPAR:VIA,30.17,30.5,29.52,30.31,121668
2006-12-20,XPAR:VIA,31.04,31.9,29.9,30.0,64388
2006-12-21,XPAR:VIA,30.05,31.6,30.05,31.59,35487
2006-12-22,XPAR:VIA,29.7,30.3,29.5,30.3,11245
2006-12-25,XPAR:VIA,29.7,30.3,29.5,30.3,0
2006-12-26,XPAR:VIA,29.7,30.3,29.5,30.3,0
2006-12-27,XPAR:VIA,30.0,30.3,29.5,29.7,10988
2006-12-28,XPAR:VIA,31.0,31.0,30.0,30.38,33443
2006-12-29,XPAR:VIA,31.52,31.52,30.01,31.0,9272
2007-01-01,XPAR:VIA,31.52,31.52,30.01,31.0,0
2007-01-02,XPAR:VIA,31.2,31.28,30.17,31.0,6903
2007-01-03,XPAR:VIA,30.2,30.56,30.17,30.55,5743
2007-01-04,XPAR:VIA,29.77,29.8,29.5,29.5,7882
2007-01-05,XPAR:VIA,30.09,30.09,29.6,29.7,4200
2007-01-08,XPAR:VIA,29.53,30.0,29.53,29.71,6414
2007-01-09,XPAR:VIA,29.79,29.79,29.5,29.56,2717
2007-01-10,XPAR:VIA,30.6,30.6,29.6,29.75,14966
2007-01-11,XPAR:VIA,32.15,32.67,30.6,30.7,23046
2007-01-12,XPAR:VIA,33.7,33.7,32.2,32.2,17993
2007-01-15,XPAR:VIA,33.8,34.6,33.76,34.0,16963
2007-01-16,XPAR:VIA,33.5,34.0,33.5,34.0,4241
2007-01-17,XPAR:VIA,33.5,33.5,33.0,33.5,2866
2007-01-18,XPAR:VIA,33.95,34.0,33.1,33.25,3901
2007-01-19,XPAR:VIA,33.99,33.99,33.3,33.3,12218
2007-01-22,XPAR:VIA,34.9,34.9,33.3,33.3,21380
2007-01-23,XPAR:VIA,34.35,35.0,34.1,35.0,17549
2007-01-24,XPAR:VIA,34.9,34.9,34.2,34.85,1289
2007-01-25,XPAR:VIA,35.01,35.2,34.7,35.0,9918
2007-01-26,XPAR:VIA,34.7,35.15,34.7,35.15,1456
2007-01-29,XPAR:VIA,34.9,35.0,34.6,35.0,60575
2007-01-30,XPAR:VIA,35.1,35.1,34.95,35.0,6446
2007-01-31,XPAR:VIA,35.36,35.77,34.95,34.95,24681
2007-02-01,XPAR:VIA,36.2,38.6,36.0,36.0,8395
2007-02-02,XPAR:VIA,37.0,37.95,36.6,36.8,5742
2007-02-05,XPAR:VIA,36.94,37.3,34.4,37.3,7667
2007-02-06,XPAR:VIA,36.7,37.0,36.4,36.9,20216
2007-02-07,XPAR:VIA,36.5,36.75,36.0,36.5,3466
2007-02-08,XPAR:VIA,35.6,36.5,35.6,36.25,4276
2007-02-09,XPAR:VIA,38.15,38.15,35.94,35.94,45984
