  "Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Laatst";"Last Date/Time";"Time Zone";"Aantal";"Turnover"
"BEAULIEU-AV. CERT";"BE0003661726";"BEAB";"Euronext Brussels";"EUR";"90.52";"90.52";"90.52";"90.52";"22/12/2017 16:30";"CET";"5";"452.60"
"BEFIMMO";"BE0003678894";"BEFB";"Euronext Brussels";"EUR";"53.30";"53.35";"53.00";"53.29";"22/12/2017 17:35";"CET";"29606";"1574207.56"
"BEKAERT";"BE0974258874";"BEKB";"Euronext Brussels";"EUR";"35.06";"35.64";"34.955";"35.495";"22/12/2017 17:35";"CET";"158202";"5593255.93"
"BELRECA";"BE0020575115";"BELR";"Euronext Brussels";"EUR";"104.00";"104.00";"104.00";"104.00";"20/12/2017 11:30";"CET";"157";"16328.00"
"BELUGA";"BE0003723377";"BELU";"Euronext Brussels";"EUR";"1.31";"1.31";"1.31";"1.31";"13/12/2017 16:30";"CET";"112";"146.72"
"BIOCARTIS";"BE0974281132";"BCART";"Euronext Brussels";"EUR";"11.60";"11.67";"11.355";"11.39";"22/12/2017 17:35";"CET";"75661";"867041.91"
"BOEING COMPANY";"US0970231058";"BOEI";"Traded not listed Brussels";"USD";"230.00";"230.00";"230.00";"230.00";"28/07/2017 11:30";"CET";"200";"39219.05"
"BONE THERAPEUTICS";"BE0974280126";"BOTHE";"Euronext Brussels, Paris";"EUR";"8.36";"8.40";"8.20";"8.223";"22/12/2017 17:35";"CET";"13511";"112658.10"
"BPOST";"BE0974268972";"BPOST";"Euronext Brussels";"EUR";"25.84";"25.92";"25.73";"25.90";"22/12/2017 17:35";"CET";"205020";"5297518.02"
"BQUE NAT. BELGIQUE";"BE0003008019";"BNB";"Euronext Brussels";"EUR";"2862.05";"2872.00";"2856.70";"2859.85";"22/12/2017 17:35";"CET";"72";"206271.70"
"BREDERODE";"LU1068091351";"BREB";"Euronext Brussels";"EUR";"49.04";"49.12";"48.70";"48.79";"22/12/2017 17:35";"CET";"4389";"214728.85"
"CAMPINE";"BE0003825420";"CAMB";"Euronext Brussels";"EUR";"22.69";"22.69";"22.69";"22.69";"22/12/2017 11:30";"CET";"45";"1021.05"
"CANDELA INVEST";"BE0974298300";"CAND";"Euronext Growth Brussels";"EUR";"5.60";"5.60";"5.60";"5.60";"21/12/2017 11:30";"CET";"400";"2240.00"
"CARE PROPERTY INV.";"BE0974273055";"CPINV";"Euronext Brussels";"EUR";"18.24";"18.455";"18.15";"18.43";"22/12/2017 17:35";"CET";"23993";"438853.05"
"CELYAD";"BE0974260896";"CYAD";"Euronext Brussels, Paris";"EUR";"32.005";"33.00";"31.80";"32.015";"22/12/2017 17:35";"CET";"30975";"998915.56"
"CENERGY";"BE0974303357";"CENER";"Euronext Brussels";"EUR";"1.25";"1.25";"1.202";"1.202";"21/12/2017 17:25";"CET";"4200";"5187.60"
"CFE";"BE0003883031";"CFEB";"Euronext Brussels";"EUR";"122.10";"122.10";"119.80";"120.10";"22/12/2017 17:35";"CET";"6208";"748391.30"
"CHEVRON";"US1667641005";"CHTEX";"Traded not listed Brussels";"USD";"112.82";"113.69";"112.82";"113.69";"03/03/2017 16:30";"CET";"500";"53599.19"
"CIE BOIS SAUVAGE";"BE0003592038";"COMB";"Euronext Brussels";"EUR";"351.40";"352.95";"346.55";"352.50";"22/12/2017 17:35";"CET";"1031";"360259.50"
"CISCO SYSTEM INC";"US17275R1023";"CIS";"Traded not listed Brussels";"USD";"38.00";"38.00";"38.00";"38.00";"18/12/2017 09:13";"CET";"400";"12886.82"
"CO.BR.HA";"BE0003519270";"COBH";"Euronext Growth Brussels";"EUR";"3700.00";"3700.00";"3700.00";"3700.00";"21/12/2017 11:30";"CET";"1";"3700.00"
"COFINIMMO";"BE0003593044";"COFB";"Euronext Brussels";"EUR";"109.60";"109.70";"108.75";"109.25";"22/12/2017 17:35";"CET";"18542";"2024882.15"
"COFINIMMO PRIV1";"BE0003811289";"COFP1";"Euronext Brussels";"EUR";"128.53333";"128.53333";"128.53333";"128.53333";"01/08/2016 11:30";"CET";"15";"2032.00"
"COFINIMMO PRIV2";"BE0003813301";"COFP2";"Euronext Brussels";"EUR";"100.10";"100.10";"100.10";"100.10";"02/11/2017 16:30";"CET";"300";"30030.00"
"COLRUYT";"BE0974256852";"COLR";"Euronext Brussels";"EUR";"42.79";"43.20";"42.79";"43.02";"22/12/2017 17:35";"CET";"218577";"9416169.81"
"CONNECT GROUP";"BE0003786036";"CONN";"Euronext Brussels";"EUR";"0.868";"0.869";"0.868";"0.869";"22/12/2017 10:59";"CET";"2435";"2114.12"
"CURETIS";"NL0011509294";"CURE";"Euronext Amsterdam, Brussels";"EUR";"3.80";"3.98";"3.74";"3.74";"22/12/2017 17:35";"CET";"14894";"57351.89"
"D''IETEREN";"BE0974259880";"DIE";"Euronext Brussels";"EUR";"37.505";"37.595";"37.385";"37.50";"22/12/2017 17:35";"CET";"7025";"263256.61"
"DALENYS";"BE0946620946";"NYS";"Euronext Brussels, Paris";"EUR";"9.00";"9.003";"8.975";"9.003";"22/12/2017 17:35";"CET";"59710";"537366.28"
"DECEUNINCK";"BE0003789063";"DECB";"Euronext Brussels";"EUR";"3.04";"3.059";"3.014";"3.025";"22/12/2017 17:35";"CET";"143022";"433109.14"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Brussels";"EUR";"14.92";"14.92";"14.92";"14.92";"22/12/2017 10:23";"CET";"63";"939.96"
"DEXIA";"BE0974290224";"DEXB";"Euronext Brussels";"EUR";"10.015";"10.10";"10.00";"10.095";"22/12/2017 17:35";"CET";"3674";"36783.27"
"DIEGEM KENNEDYCERT";"BE0003698124";"DIEG";"Euronext Brussels";"EUR";"117.65";"117.65";"117.65";"117.65";"21/12/2017 16:30";"CET";"8";"941.20"
"DISTRI-LAND CERT";"BE0003605160";"DISL";"Euronext Brussels";"EUR";"201.20";"201.20";"201.20";"201.20";"20/12/2017 16:30";"CET";"127";"25552.40"
"E.ON SE";"DE000ENAG999";"EON";"Traded not listed Brussels";"EUR";"9.34";"9.34";"9.34";"9.34";"22/12/2017 16:32";"CET";"100";"934.00"
"ECKERT-ZIEGLER BG";"BE0974300320";"EZBG";"Euronext Brussels";"EUR";"8.901";"9.10";"8.901";"9.05";"22/12/2017 17:35";"CET";"2430";"21663.04"
"ECONOCOM GROUP";"BE0974313455";"ECONB";"Euronext Brussels";"EUR";"5.937";"5.97";"5.904";"5.946";"22/12/2017 17:38";"CET";"144648";"859785.24"
"ELIA";"BE0003822393";"ELI";"Euronext Brussels";"EUR";"47.06";"47.45";"46.80";"47.35";"22/12/2017 17:35";"CET";"48438";"2284389.28"
"EMAKINA GROUP";"BE0003843605";"ALEMK";"Euronext Growth Brussels";"EUR";"14.45";"14.45";"14.10";"14.10";"29/11/2017 16:30";"CET";"76";"1097.85"
"EMD MUSIC";"BE0003849669";"EMD";"Euronext Access Brussels";"EUR";"1.11";"1.11";"1.11";"1.11";"07/12/2017 16:30";"CET";"1";"1.11"
"ENGIE";"FR0010208488";"ENGI";"Euronext Paris, Brussels";"EUR";"14.455";"14.60";"14.455";"14.565";"22/12/2017 17:38";"CET";"2727974";"39663843.54"
"ENI";"IT0003132476";"ENI";"Traded not listed Brussels";"EUR";"13.77";"13.77";"13.77";"13.77";"20/12/2017 09:00";"CET";"185";"2547.45"
"ENVIPCO";"NL0009901610";"ENVI";"Euronext Brussels";"EUR";"8.288";"8.288";"8.288";"8.288";"22/12/2017 09:00";"CET";"1";"8.29"
"EURONAV";"BE0003816338";"EURN";"Euronext Brussels";"EUR";"7.15";"7.442";"7.05";"7.391";"22/12/2017 17:35";"CET";"845117";"6165052.04"
"EURONEXT";"NL0006294274";"ENX";"Euronext Paris, Amsterdam, Brussels";"EUR";"52.43";"52.43";"51.88";"52.10";"22/12/2017 17:35";"CET";"68683";"3577718.81"
"EUROPUBLIDIS";"BE0003842599";"ALPBS";"Euronext Growth Brussels";"EUR";"0.18";"0.18";"0.18";"0.18";"30/11/2017 11:30";"CET";"2210";"397.80"
"EVADIX";"BE0003840577";"ALEVA";"Euronext Growth Brussels";"EUR";"0.55";"0.58";"0.55";"0.58";"14/12/2017 16:30";"CET";"5750";"3222.50"
"EVS BROADC.EQUIPM.";"BE0003820371";"EVS";"Euronext Brussels";"EUR";"29.38";"29.38";"28.865";"28.90";"22/12/2017 17:35";"CET";"9556";"277605.57"
"EXMAR";"BE0003808251";"EXM";"Euronext Brussels";"EUR";"6.02";"6.146";"6.00";"6.049";"22/12/2017 17:35";"CET";"316605";"1918061.51"
"FAGRON";"BE0003874915";"FAGR";"Euronext Brussels, Amsterdam";"EUR";"11.15";"11.24";"11.095";"11.14";"22/12/2017 17:35";"CET";"51113";"570634.14"
"FLEXOS";"BE0003885051";"FLEX";"Euronext Access Brussels";"EUR";"4.14";"4.14";"4.14";"4.14";"07/11/2017 11:30";"CET";"41";"169.74"
"FLORIDIENNE";"BE0003215143";"FLOB";"Euronext Brussels";"EUR";"186.90";"186.90";"186.90";"186.90";"22/12/2017 16:30";"CET";"305";"57004.50"
"FLUXYS BELGIUM D";"BE0974265945";"FLUX";"Euronext Brussels";"EUR";"26.32";"26.50";"26.10";"26.39";"22/12/2017 17:35";"CET";"4497";"118142.88"
"FOOT LOCKER";"US3448491049";"FOOTL";"Traded not listed Brussels";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"FOUNTAIN";"BE0003752665";"FOU";"Euronext Brussels";"EUR";"1.05";"1.05";"1.03";"1.03";"22/12/2017 16:30";"CET";"1499";"1555.99"
"GALAPAGOS";"BE0003818359";"GLPG";"Euronext Amsterdam, Brussels";"EUR";"75.50";"78.48";"74.89";"78.48";"22/12/2017 17:35";"CET";"591746";"45745944.35"
"GBL";"BE0003797140";"GBLB";"Euronext Brussels";"EUR";"90.00";"90.31";"89.78";"89.99";"22/12/2017 17:35";"CET";"84670";"7618975.52"
"GENK LOGIST. CERT";"BE0003740546";"GENK";"Euronext Brussels";"EUR";"122.00";"124.48";"122.00";"124.48";"21/12/2017 16:30";"CET";"152";"18546.48"
"GENKYOTEX";"FR0011790542";"GKTX";"Euronext Paris, Brussels";"EUR";"1.65";"1.67";"1.62";"1.65";"22/12/2017 17:35";"CET";"74056";"121426.38"
"GIMV";"BE0003699130";"GIMB";"Euronext Brussels";"EUR";"51.00";"51.00";"50.60";"50.61";"22/12/2017 17:35";"CET";"24573";"1247969.45"
"GLOBAL GRAPHICS";"GB00BYN5BY03";"GLOG";"Euronext Brussels";"EUR";"2.68";"2.68";"2.63";"2.63";"22/12/2017 16:41";"CET";"1331";"3507.18"
"GREENYARD";"BE0003765790";"GREEN";"Euronext Brussels";"EUR";"19.38";"19.595";"19.265";"19.40";"22/12/2017 17:35";"CET";"48686";"944215.61"
"GROWNERS";"BE0003861789";"GROWN";"Euronext Access Brussels";"EUR";"1.24";"1.24";"1.24";"1.24";"15/12/2017 16:30";"CET";"390";"483.60"
"HAMON";"BE0003700144";"HAMO";"Euronext Brussels";"EUR";"1.803";"1.81";"1.80";"1.80";"22/12/2017 10:57";"CET";"7965";"14350.95"
"HOME INVEST BE.";"BE0003760742";"HOMI";"Euronext Brussels";"EUR";"89.99";"89.99";"87.00";"87.99";"22/12/2017 17:16";"CET";"2217";"195520.13"
"IBA";"BE0003766806";"IBAB";"Euronext Brussels";"EUR";"23.58";"23.80";"23.365";"23.70";"22/12/2017 17:37";"CET";"37427";"883931.07"
"IBM";"US4592001014";"IBMA";"Traded not listed Brussels";"USD";"140.01";"140.01";"140.01";"140.01";"10/10/2017 11:30";"CET";"1";"118.68"
"ICE CONCEPT";"BE0003860773";"ICE";"Euronext Access Brussels";"EUR";"0.50";"0.50";"0.50";"0.50";"11/12/2017 11:30";"CET";"1";"0.50"
"IEP INVEST";"BE0003748622";"IEP";"Euronext Brussels";"EUR";"5.808";"5.808";"5.807";"5.807";"22/12/2017 14:56";"CET";"802";"4657.98"
"IMMO MCC";"BE0974287196";"MCC";"Euronext Brussels";"EUR";"832.50";"832.50";"832.50";"832.50";"22/12/2017 11:30";"CET";"1";"832.50"
"IMMO MOURY";"BE0003893139";"IMMOU";"Euronext Brussels";"EUR";"49.30";"49.30";"49.10";"49.10";"22/12/2017 16:30";"CET";"171";"8430.10"
"IMMOBEL";"BE0003599108";"IMMO";"Euronext Brussels";"EUR";"54.20";"55.98";"54.20";"54.52";"22/12/2017 17:29";"CET";"8034";"438934.34"
"IMMOPOOL";"BE0003866838";"IMMOP";"Euronext Access Brussels";"EUR";"0.01";"0.01";"0.01";"0.01";"22/12/2017 11:30";"CET";"2000";"20.00"
"ING GROEP N.V.";"NL0011821202";"INGA";"Euronext Amsterdam, Brussels";"EUR";"15.55";"15.625";"15.475";"15.545";"22/12/2017 17:35";"CET";"7019201";"109079314.74"
"INTEL CORP";"US4581401001";"INCO";"Traded not listed Brussels";"USD";"45.13";"45.13";"45.13";"45.13";"21/11/2017 10:02";"CET";"13";"500.67"
"INTERVEST OFF-WARE";"BE0003746600";"INTO";"Euronext Brussels";"EUR";"21.93";"22.155";"21.925";"21.95";"22/12/2017 17:35";"CET";"8792";"193581.43"
"JENSEN-GROUP";"BE0003858751";"JEN";"Euronext Brussels";"EUR";"38.875";"39.10";"38.60";"38.60";"22/12/2017 16:50";"CET";"1725";"67006.61"
"KBC";"BE0003565737";"KBC";"Euronext Brussels";"EUR";"71.40";"71.79";"70.96";"71.21";"22/12/2017 17:35";"CET";"460168";"32791655.90"
"KBC ANCORA";"BE0003867844";"KBCA";"Euronext Brussels";"EUR";"53.00";"53.15";"52.60";"52.99";"22/12/2017 17:35";"CET";"37424";"1980481.73"
"KEYWARE TECH.";"BE0003880979";"KEYW";"Euronext Brussels";"EUR";"1.391";"1.479";"1.391";"1.479";"22/12/2017 14:10";"CET";"3429";"4938.61"
"KIADIS";"NL0011323407";"KDS";"Euronext Amsterdam, Brussels";"EUR";"7.936";"8.069";"7.899";"7.999";"22/12/2017 17:35";"CET";"38370";"306567.26"
"KINEPOLIS GROUP";"BE0974274061";"KIN";"Euronext Brussels";"EUR";"55.20";"56.05";"55.20";"56.00";"22/12/2017 17:35";"CET";"23415";"1307363.60"
"KKO INT WARRANT A";"BE0974285174";"KKOWA";"Euronext Growth Brussels, Paris";"EUR";"0.09";"0.09";"0.09";"0.09";"26/10/2017 10:42";"CET";"2";"0.18"
"KKO INTERNATIONAL";"BE0974284169";"ALKKO";"Euronext Growth Brussels, Paris";"EUR";"0.67";"0.70";"0.63";"0.66";"22/12/2017 17:35";"CET";"50350";"34346.41"
"LEASINVEST";"BE0003770840";"LEAS";"Euronext Brussels";"EUR";"95.49";"96.00";"92.50";"93.99";"22/12/2017 17:35";"CET";"2210";"207797.03"
"LOTUS BAKERIES";"BE0003604155";"LOTB";"Euronext Brussels";"EUR";"2095.00";"2130.00";"2093.00";"2129.95";"22/12/2017 17:28";"CET";"468";"990262.25"
"LUX-AIRPORT CERT";"LU0092846210";"LUXA";"Euronext Brussels";"EUR";"198.00";"198.00";"198.00";"198.00";"21/12/2017 16:30";"CET";"1";"198.00"
"MARATHON OIL CORP";"US5658491064";"MROIL";"Traded not listed Brussels";"USD";"59.00";"-";"-";"59.00";"03/11/2005 00:00";"CET";"-";"-"
"MDXHEALTH";"BE0003844611";"MDXH";"Euronext Brussels";"EUR";"3.483";"3.55";"3.42";"3.44";"22/12/2017 17:35";"CET";"136999";"477192.02"
"MEDIVISION";"IL0010846314";"MEDV";"Euronext Brussels";"EUR";"0.01";"0.01";"0.01";"0.01";"27/06/2014 16:30";"CET";"1000";"10.00"
"MELEXIS";"BE0165385973";"MELE";"Euronext Brussels";"EUR";"83.90";"84.76";"83.50";"84.63";"22/12/2017 17:35";"CET";"16329";"1376627.62"
"MICROSOFT CORP SPL";"US5949181045";"MSF";"Traded not listed Brussels";"USD";"85.47";"85.47";"85.47";"85.47";"22/12/2017 14:58";"CET";"180";"12979.49"
"MIKO";"BE0003731453";"MIKO";"Euronext Brussels";"EUR";"118.00";"118.00";"118.00";"118.00";"22/12/2017 16:30";"CET";"250";"29500.00"
"MITHRA";"BE0974283153";"MITRA";"Euronext Brussels";"EUR";"10.25";"10.47";"10.245";"10.325";"22/12/2017 17:35";"CET";"14290";"147462.37"
"MONTEA C.V.A.";"BE0003853703";"MONT";"Euronext Brussels, Paris";"EUR";"41.50";"41.99";"41.15";"41.75";"22/12/2017 17:35";"CET";"24229";"1008239.90"
"MOPOLI";"NL0000488153";"MOP";"Euronext Brussels";"EUR";"268.50";"268.50";"268.50";"268.50";"05/12/2017 11:30";"CET";"5";"1342.50"
"MOPOLI FOND";"NL0000488161";"MOPF";"Euronext Brussels";"EUR";"8206.00";"8206.00";"8206.00";"8206.00";"12/04/2017 11:30";"CET";"1";"8206.00"
"MOURY CONSTRUCT";"BE0003602134";"MOUR";"Euronext Brussels";"EUR";"138.25";"138.25";"138.25";"138.25";"22/12/2017 16:37";"CET";"60";"8295.00"
"MUNCHENER RUCKVERS";"DE0008430026";"MEURV";"Traded not listed Brussels";"EUR";"194.00";"194.00";"194.00";"194.00";"18/12/2017 09:00";"CET";"1";"194.00"
"NEUFCOUR-FIN.";"BE0003680916";"NEU";"Euronext Brussels";"EUR";"6.37";"6.37";"6.37";"6.37";"20/12/2017 11:30";"CET";"27";"171.99"
"NEWTREE";"BE0003832491";"NEWT";"Euronext Access Brussels";"EUR";"1.10";"1.10";"1.10";"1.10";"15/12/2017 11:30";"CET";"1274";"1401.40"
"NR21";"FR0004166155";"NR21";"Euronext Brussels";"EUR";"0.90";"0.90";"0.90";"0.90";"26/03/2014 16:30";"CET";"5299";"4769.10"
"NWE NED AM HYP BK";"NL0000121622";;"Traded not listed Brussels";"EUR";"21.85";"21.85";"21.85";"21.85";"07/12/2017 11:25";"CET";"1";"21.85"
"NYRSTAR";"BE0974294267";"NYR";"Euronext Brussels";"EUR";"6.654";"6.686";"6.512";"6.59";"22/12/2017 17:35";"CET";"270600";"1784339.46"
"OCCIDENTAL PETROL.";"US6745991058";"OCPET";"Traded not listed Brussels";"USD";"73.00";"73.00";"73.00";"73.00";"22/04/2016 16:30";"CET";"37";"2398.12"
"OIM";"GB00B063YS85";"OIM";"Euronext Brussels";"EUR";"0.04";"0.05";"0.04";"0.04";"22/12/2017 17:06";"CET";"16900";"766.00"
"ONTEX GROUP";"BE0974276082";"ONTEX";"Euronext Brussels";"EUR";"27.595";"27.83";"27.25";"27.76";"22/12/2017 17:35";"CET";"119841";"3306543.81"
"OPTION";"BE0003836534";"OPTI";"Euronext Brussels";"EUR";"0.041";"0.042";"0.04";"0.04";"22/12/2017 17:12";"CET";"809780";"32598.01"
"ORANGE BELGIUM";"BE0003735496";"OBEL";"Euronext Brussels";"EUR";"17.09";"17.335";"16.95";"17.075";"22/12/2017 17:35";"CET";"48119";"822059.91"
"ORCOBSAAR1219";"XS0290764728";"ORCOW";"Euronext Brussels, Paris";"EUR";"0.11";"0.11";"0.11";"0.11";"13/01/2016 09:03";"CET";"130";"14.30"
"PAYTON PLANAR";"IL0010830391";"PAY";"Euronext Brussels";"EUR";"3.40";"3.41";"3.40";"3.41";"22/12/2017 16:30";"CET";"1525";"5185.25"
"PCB";"BE0003503118";"PCBB";"Euronext Brussels";"EUR";"7.40";"7.40";"7.40";"7.40";"21/12/2017 16:30";"CET";"700";"5180.00"
"PEPSICO";"US7134481081";"PEP";"Traded not listed Brussels";"USD";"112.36";"112.36";"112.36";"112.36";"20/10/2017 16:30";"CET";"76";"7225.72"
"PHARCO";"BE0003835528";"PHAR";"Euronext Access Brussels";"EUR";"0.50";"0.50";"0.50";"0.50";"08/12/2017 16:30";"CET";"1";"0.50"
"PICANOL";"BE0003807246";"PIC";"Euronext Brussels";"EUR";"91.30";"92.80";"90.40";"92.78";"22/12/2017 17:35";"CET";"1712";"156056.92"
"PNS";"BE0003838555";"PNSB";"Euronext Access Brussels";"EUR";"3.61";"3.61";"3.61";"3.61";"21/12/2017 11:30";"CET";"32";"115.52"
"PROXIMUS";"BE0003810273";"PROX";"Euronext Brussels";"EUR";"27.725";"27.78";"27.485";"27.74";"22/12/2017 17:35";"CET";"398669";"11031750.74"
"QRF";"BE0974272040";"QRF";"Euronext Brussels";"EUR";"24.355";"24.495";"24.22";"24.22";"22/12/2017 17:35";"CET";"2179";"52996.26"
"QUESTFOR GR-PRICAF";"BE0003730448";"QFG";"Euronext Brussels";"EUR";"8.80";"8.99";"8.75";"8.99";"22/12/2017 17:29";"CET";"9360";"83104.91"
"REALCO";"BE0003841583";"REAL";"Euronext Access Brussels";"EUR";"18.20";"18.20";"18.20";"18.20";"13/12/2017 11:30";"CET";"200";"3640.00"
"REALDOLMEN";"BE0003899193";"REA";"Euronext Brussels";"EUR";"26.875";"26.99";"26.80";"26.90";"22/12/2017 17:35";"CET";"1533";"41217.09"
"RECTICEL";"BE0003656676";"REC";"Euronext Brussels";"EUR";"7.98";"8.009";"7.86";"7.90";"22/12/2017 17:35";"CET";"101745";"806676.31"
"REIBEL";"BE0003829463";"REI";"Euronext Access Brussels";"EUR";"3.00";"3.00";"3.00";"3.00";"01/12/2017 16:30";"CET";"1";"3.00"
"RESILUX";"BE0003707214";"RES";"Euronext Brussels";"EUR";"146.00";"146.85";"144.00";"144.65";"22/12/2017 17:35";"CET";"1903";"276411.95"
"RETAIL ESTATES";"BE0003720340";"RET";"Euronext Brussels";"EUR";"72.75";"73.35";"72.45";"73.09";"22/12/2017 17:35";"CET";"12758";"929386.36"
"ROSIER";"BE0003575835";"ENGB";"Euronext Brussels";"EUR";"165.00";"165.00";"165.00";"165.00";"22/12/2017 13:34";"CET";"15";"2475.00"
"ROULARTA";"BE0003741551";"ROU";"Euronext Brussels";"EUR";"21.79";"21.99";"21.59";"21.80";"22/12/2017 17:28";"CET";"4110";"89531.05"
"RTL GROUP";"LU0061462528";"RTL";"Euronext Brussels";"EUR";"67.71";"68.05";"67.43";"67.46";"22/12/2017 17:35";"CET";"4281";"289837.35"
"SABCA";"BE0003654655";"SAB";"Euronext Brussels";"EUR";"25.35";"25.35";"25.35";"25.35";"15/12/2017 11:34";"CET";"346";"8771.10"
"SAINT GOBAIN";"FR0000125007";"SGO";"Euronext Paris, Amsterdam, Brussels";"EUR";"46.48";"46.745";"46.325";"46.45";"22/12/2017 18:31";"CET";"1227375";"57166779.55"
"SAPEC";"BE0003625366";"SAP";"Euronext Brussels";"EUR";"59.86";"60.10";"59.86";"60.00";"22/12/2017 17:35";"CET";"19";"1138.08"
"SCHEERD.V KERCHOVE";"BE0012378593";"SCHD";"Euronext Brussels";"EUR";"777.00";"777.00";"777.00";"777.00";"09/11/2017 11:30";"CET";"4";"3108.00"
"SETTLEMENTS";"BE0974261902";"STTL";"Euronext Growth Brussels";"USD";"13.52";"13.52";"13.52";"13.52";"24/03/2017 15:30";"CET";"15000";"187690.79"
"SIEMENS";"DE0007236101";"SIA";"Traded not listed Brussels";"EUR";"117.04";"117.04";"117.04";"117.04";"22/12/2017 16:23";"CET";"59";"6905.36"
"SIOEN";"BE0003743573";"SIOE";"Euronext Brussels";"EUR";"29.90";"29.90";"29.45";"29.55";"22/12/2017 17:35";"CET";"8710";"258210.79"
