  "Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Laatst";"Last Date/Time";"Time Zone";"Aantal";"Turnover"
"European Equities";"";;;;;;;;;;;
"26 Dec 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"5.50";"5.50";"5.50";"5.50";"22/12/2017 16:30";"CET";"151";"830.50"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"94.00";"94.83";"93.60";"93.99";"22/12/2017 17:35";"CET";"1079338";"101552089.56"
"ABLYNX";"BE0003877942";"ABLX";"Euronext Brussels";"EUR";"20.30";"20.60";"20.145";"20.275";"22/12/2017 17:35";"CET";"162486";"3300397.71"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"4.02";"4.02";"4.02";"4.02";"21/12/2017 16:30";"CET";"100";"402.00"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0.0376";"0.0376";"0.0376";"0.0376";"22/12/2017 13:35";"CET";"100000";"3760.00"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"146.10";"146.40";"144.45";"145.20";"22/12/2017 17:35";"CET";"44533";"6477253.55"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"78.81";"78.82";"77.57";"77.72";"22/12/2017 17:35";"CET";"20446";"1595835.30"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"40.84";"41.11";"40.69";"41.11";"22/12/2017 17:35";"CET";"539800";"22114955.73"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"3.905";"3.941";"3.872";"3.908";"22/12/2017 17:35";"CET";"108034";"421788.87"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"18.12";"18.29";"18.10";"18.20";"22/12/2017 17:35";"CET";"2790523";"50822491.08"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"56.00";"56.00";"55.00";"55.00";"22/12/2017 16:30";"CET";"251";"14000.00"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"43.225";"43.58";"40.985";"42.00";"22/12/2017 17:35";"CET";"849863";"35735560.51"
"ARGENX SE";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"47.57";"49.88";"47.57";"49.02";"22/12/2017 17:35";"CET";"180922";"8887352.91"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"55.10";"56.88";"54.80";"55.94";"22/12/2017 17:35";"CET";"8379";"462694.74"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"3.609";"3.609";"3.50";"3.521";"22/12/2017 17:01";"CET";"9617";"33899.58"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Brussels";"EUR";"15.58";"15.58";"15.58";"15.58";"20/12/2017 11:28";"CET";"40";"623.20"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"46.185";"47.785";"46.00";"47.01";"22/12/2017 17:35";"CET";"8164";"383859.79"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"8.772";"8.925";"8.75";"8.82";"22/12/2017 17:35";"CET";"15330";"136032.95"
"BALTA GROUP";"BE0974314461";"BALTA";"Euronext Brussels";"EUR";"8.60";"8.65";"8.401";"8.65";"22/12/2017 17:36";"CET";"31824";"272825.25"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Brussels";"EUR";"6.87";"6.87";"6.87";"6.87";"01/12/2017 16:19";"CET";"573";"3936.51"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Brussels";"EUR";"5.60";"5.60";"5.60";"5.60";"22/12/2017 15:59";"CET";"300";"1680.00"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"3.27";"3.27";"3.25";"3.27";"22/12/2017 16:58";"CET";"2600";"8479.70"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"88.98";"89.99";"88.84";"89.87";"22/12/2017 17:35";"CET";"6403";"573812.13"
"BASILIX CERT";"BE0003674851";"BAS";"Euronext Brussels";"EUR";"15.70";"15.70";"15.70";"15.70";"22/12/2017 16:30";"CET";"136";"2135.20"
