"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"36.10";"36.90";"35.90";"36.90";"14/02/2018 15:05";"CET";"2103";"76229.50"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"6.05";"6.05";"5.70";"5.70";"13/02/2018 16:30";"CET";"2512";"15193.40"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.062";"0.062";"0.062";"0.062";"22/01/2018 16:30";"CET";"621";"38.50"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"2.82";"2.82";"2.82";"2.82";"14/02/2018 11:30";"CET";"14";"39.48"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"9.39";"9.68";"9.16";"9.30";"14/02/2018 17:35";"CET";"16754";"156446.00"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"Euronext Growth Paris";"EUR";"45.00";"45.20";"45.00";"45.20";"14/02/2018 17:14";"CET";"1701";"76743.80"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"39.85";"39.92";"39.01";"39.64";"14/02/2018 17:35";"CET";"333046";"13195904.00"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"84.49";"85.12";"82.98";"83.59";"14/02/2018 17:38";"CET";"2067168";"173330707.88"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"8.295";"8.435";"8.255";"8.295";"14/02/2018 17:35";"CET";"53876";"449880.775"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"7.14";"7.14";"6.95";"6.98";"14/02/2018 17:35";"CET";"136688";"961911.96"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Euronext Access Paris";"EUR";"0.29";"0.29";"0.29";"0.29";"04/04/2016 15:00";"CET";"1";"0.29"
"ABCARBIBSAA29JUN18";"FR0013254489";"ABCBS";"Euronext Access Paris";"EUR";"0.05";"0.05";"0.05";"0.05";"13/02/2018 11:30";"CET";"40000";"2000.00"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"44.10";"44.10";"42.20";"43.30";"14/02/2018 17:35";"CET";"1683";"72636.60"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"8.76";"8.76";"8.36";"8.59";"14/02/2018 17:35";"CET";"20044";"170999.74"
"ABLYNX";"BE0003877942";"ABLX";"Euronext Brussels";"EUR";"43.72";"43.84";"43.64";"43.70";"14/02/2018 17:35";"CET";"582004";"25450666.32"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"24.63";"24.77";"24.46";"24.57";"14/02/2018 17:35";"CET";"1932799";"47588929.72"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"3.86";"3.86";"3.86";"3.86";"13/02/2018 11:30";"CET";"260";"1003.60"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0.588";"0.598";"0.562";"0.584";"14/02/2018 17:28";"CET";"162060";"94097.978"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"21.85";"21.85";"21.35";"21.40";"14/02/2018 17:35";"CET";"22221";"478588.55"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0.04";"0.04";"0.0395";"0.0395";"14/02/2018 17:35";"CET";"441286";"17493.635"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"45.40";"46.09";"45.21";"45.88";"14/02/2018 17:39";"CET";"1075683";"49208257.19"
"ACCOR NV18";"FR0013306149";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"0.902";"0.91";"0.90";"0.91";"14/02/2018 16:46";"CET";"7872";"7108.534"
"ACEP FRANCE";"FR0010762740";"MLACP";"Euronext Access Paris";"EUR";"1.62";"1.62";"1.62";"1.62";"09/02/2018 11:30";"CET";"739";"1197.18"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Euronext Growth Paris";"EUR";"0.0468";"0.0476";"0.0456";"0.047";"14/02/2018 17:35";"CET";"1329485";"61792.5124"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"143.70";"145.40";"143.00";"144.90";"14/02/2018 17:35";"CET";"30590";"4412865.60"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"3.23";"3.28";"3.10";"3.15";"14/02/2018 17:35";"CET";"7497";"23704.90"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"7.53";"7.57";"7.08";"7.50";"14/02/2018 17:35";"CET";"57337";"421527.37"
"ACTIPLAY (GROUPE)";"FR0011038348";"ALACT";"Euronext Growth Paris";"EUR";"1.60";"1.60";"1.60";"1.60";"12/02/2018 09:00";"CET";"14";"22.40"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Euronext Access Paris";"EUR";"1.00";"1.00";"1.00";"1.00";"07/02/2018 16:30";"CET";"2";"2.00"
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"9.75";"9.75";"9.75";"9.75";"14/02/2018 09:00";"CET";"1";"9.75"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0.114";"0.114";"0.114";"0.114";"13/02/2018 16:30";"CET";"750";"85.50"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"8.90";"9.00";"8.90";"9.00";"14/02/2018 17:35";"CET";"1163";"10428.00"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"16.00";"16.10";"15.90";"15.90";"14/02/2018 15:30";"CET";"1879";"30135.60"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"15.00";"15.60";"14.98";"15.44";"14/02/2018 17:35";"CET";"11820";"181778.64"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"1.025";"1.03";"0.99";"1.02";"14/02/2018 17:28";"CET";"680745";"688617.162"
"ADOMOS BS";"FR0013247228";"ALABS";"Euronext Growth Paris";"EUR";"0.0306";"0.0308";"0.0306";"0.0308";"14/02/2018 16:07";"CET";"85000";"2608.00"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"163.20";"165.60";"162.80";"164.20";"14/02/2018 17:35";"CET";"68551";"11257354.20"
"ADTHINK MEDIA";"FR0010457531";"ALADM";"Euronext Growth Paris";"EUR";"2.45";"2.57";"2.40";"2.57";"14/02/2018 17:35";"CET";"9117";"22707.79"
"ADUX";"FR0012821890";"ADUX";"Euronext Paris";"EUR";"4.90";"4.90";"4.82";"4.84";"14/02/2018 17:18";"CET";"9305";"45148.60"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1.77";"1.795";"1.75";"1.75";"14/02/2018 17:29";"CET";"799";"1407.085"
"ADVENIS DS";"FR0013284940";"ADVDS";"Euronext Paris";"EUR";"0.02";"0.03";"0.001";"0.001";"14/02/2018 17:35";"CET";"635233";"5008.4256"
"ADVICENNE";"FR0013296746";"ADVIC";"Euronext Paris";"EUR";"13.32";"13.32";"13.314";"13.32";"14/02/2018 15:11";"CET";"232";"3089.526"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"34.20";"34.80";"34.20";"34.80";"14/02/2018 16:21";"CET";"108";"3731.40"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"72.60";"73.00";"71.70";"71.70";"14/02/2018 17:35";"CET";"17124";"1237184.40"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"5.37";"5.428";"5.342";"5.416";"14/02/2018 17:36";"CET";"10319850";"55620433.188"
"AFFINE R.E.";"FR0000036105";"IML";"Euronext Paris";"EUR";"16.82";"16.98";"16.76";"16.90";"14/02/2018 17:35";"CET";"4663";"78777.74"
"AFONE PARTICIP.";"FR0000044612";"AFO";"Euronext Paris";"EUR";"7.70";"7.90";"7.55";"7.85";"14/02/2018 15:47";"CET";"695";"5307.95"
"AFRIQUE TELECOM";"FR0011233659";"MLAFT";"Euronext Access Paris";"EUR";"7.11";"7.11";"7.11";"7.11";"18/02/2014 15:00";"CET";"15";"106.65"
"AG3I";"FR0011908045";"MLAGI";"Euronext Access Paris";"EUR";"2.88";"2.88";"2.88";"2.88";"01/02/2018 16:30";"CET";"88";"253.44"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"40.84";"40.97";"40.63";"40.76";"14/02/2018 17:35";"CET";"505932";"20630516.49"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"3.768";"3.86";"3.76";"3.836";"14/02/2018 17:35";"CET";"120773";"460689.086"
"AGROGENERATION";"FR0010641449";"ALAGR";"Euronext Growth Paris";"EUR";"0.377";"0.379";"0.371";"0.371";"14/02/2018 16:56";"CET";"19064";"7116.026"
"AGTA RECORD";"CH0008853209";"AGTA";"Euronext Paris";"EUR";"64.50";"64.50";"64.50";"64.50";"14/02/2018 09:00";"CET";"1";"64.50"
