Date,Open,High,Low,Close,Adj Close,Volume
2017-10-06,103.959999,103.959999,103.959999,103.959999,103.959999,0.0
2017-10-09,,,,,,
2017-10-10,,,,,,
2017-10-11,,,,,,
2017-10-12,,,,,,
2017-10-13,103.959999,103.959999,103.959999,103.959999,103.959999,0.0
2017-10-16,105.0,105.0,105.0,105.0,105.0,10.0
2017-10-17,105.0,105.0,105.0,105.0,105.0,0.0
2017-10-18,105.0,105.0,105.0,105.0,105.0,0.0
2017-10-19,105.0,105.0,105.0,105.0,105.0,0.0
2017-10-20,105.0,105.0,105.0,105.0,105.0,0.0
2017-10-23,105.0,105.0,105.0,105.0,105.0,0.0
2017-10-24,105.0,105.0,105.0,105.0,105.0,0.0
2017-10-25,109.0,109.0,109.0,109.0,109.0,13.0
2017-10-26,109.0,109.0,109.0,109.0,109.0,0.0
2017-10-27,109.0,109.0,109.0,109.0,109.0,0.0
2017-10-30,109.0,109.0,109.0,109.0,109.0,0.0
2017-10-31,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-01,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-02,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-03,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-06,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-07,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-08,109.0,109.0,109.0,109.0,109.0,0.0
2017-11-09,107.0,107.0,107.0,107.0,107.0,1.0
2017-11-10,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-13,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-14,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-15,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-16,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-17,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-20,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-21,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-22,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-23,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-24,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-27,107.0,107.0,107.0,107.0,107.0,0.0
2017-11-29,109.0,109.0,109.0,109.0,109.0,3.0
2017-11-29,109.0,109.0,109.0,109.0,109.0,3.0
2017-11-29,109.0,109.0,109.0,109.0,109.0,3.0
2017-11-28,,,,,,
2017-11-29,109.0,109.0,109.0,109.0,109.0,3.0
2017-11-29,,,,,,
2017-11-30,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-01,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-04,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-05,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-06,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-07,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-08,109.0,109.0,109.0,109.0,109.0,0.0
2017-12-11,109.0,109.0,109.0,109.0,109.0,0.0
