Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,,,,,,
2017-11-14,27.85,27.85,27.85,27.85,27.85,0.0
2017-11-15,27.85,27.85,27.85,27.85,27.85,0.0
2017-11-16,27.440001,27.440001,27.440001,27.440001,27.440001,35.0
2017-11-17,27.440001,27.440001,27.440001,27.440001,27.440001,0.0
2017-11-20,27.440001,27.440001,27.440001,27.440001,27.440001,0.0
2017-11-21,27.440001,27.440001,27.440001,27.440001,27.440001,0.0
2017-11-22,27.440001,27.440001,27.440001,27.440001,27.440001,0.0
2017-11-23,27.440001,27.440001,27.440001,27.440001,27.440001,0.0
2017-11-24,27.440001,27.440001,27.440001,27.440001,27.440001,0.0
2017-11-23,,,,,,
2017-11-24,27.440001000000002,27.440001000000002,27.440001000000002,27.440001000000002,27.440001000000002,0.0
2017-11-27,27.440001000000002,27.440001000000002,27.440001000000002,27.440001000000002,27.440001000000002,0.0
2017-11-28,27.440001000000002,27.440001000000002,27.440001000000002,27.440001000000002,27.440001000000002,0.0
2017-11-29,25.370001000000002,25.370001000000002,25.370001000000002,25.370001000000002,25.370001000000002,1.0
2017-11-29,25.370001000000002,25.370001000000002,25.370001000000002,25.370001000000002,25.370001000000002,1.0
