Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,,,,,,
2017-11-14,2.84,2.84,2.84,2.84,2.84,455.0
2017-11-15,2.84,2.84,2.84,2.84,2.84,0.0
2017-11-16,2.82,2.82,2.8,2.8,2.8,2375.0
2017-11-17,2.7510000000000003,2.79,2.75,2.79,2.79,1293.0
2017-11-20,2.79,2.79,2.79,2.79,2.79,0.0
2017-11-21,2.78,2.855,2.78,2.82,2.82,3138.0
2017-11-22,2.87,2.94,2.826,2.94,2.94,4708.0
2017-11-23,2.989,2.99,2.97,2.97,2.97,4093.0
2017-11-24,2.9989999999999997,3.03,2.9989999999999997,3.03,3.03,2780.0
2017-11-23,,,,,,
2017-11-24,2.999,3.03,2.999,3.03,3.03,2780.0
2017-11-27,3.03,3.03,2.96,2.96,2.96,2761.0
2017-11-28,2.96,2.96,2.96,2.96,2.96,400.0
2017-11-29,2.959,3.023,2.932,2.94,2.94,2129.0
2017-11-29,2.959,3.023,2.932,2.94,2.94,2129.0
