Date,Open,High,Low,Close,Adj Close,Volume
2017-11-14,,,,,,
2017-11-15,86.599998,86.599998,85.220001,85.5,85.5,11441.0
2017-11-16,85.540001,88.349998,85.540001,88.0,88.0,11044.0
2017-11-17,87.849998,87.860001,86.510002,87.5,87.5,8074.0
2017-11-20,86.629997,87.75,86.260002,87.25,87.25,9310.0
2017-11-21,87.41999799999998,88.25,86.959999,88.010002,88.010002,6280.0
2017-11-22,87.510002,89.849998,87.510002,89.839996,89.839996,10422.0
2017-11-23,89.83000200000002,90.25,89.0,89.849998,89.849998,20025.0
2017-11-24,89.760002,90.25,89.089996,89.68,89.68,14019.0
2017-11-23,,,,,,
2017-11-24,89.760002,90.25,89.089996,89.68,89.68,14019.0
2017-11-27,88.66999799999999,89.650002,88.5,88.970001,88.970001,9762.0
2017-11-28,88.660004,89.480003,88.650002,89.16999799999999,89.16999799999999,5749.0
2017-11-29,89.059998,89.599998,88.790001,88.800003,88.800003,12927.0
2017-11-30,88.690002,89.739998,88.099998,89.58000200000001,89.58000200000001,18473.0
